,System,SpT,Pday,Vmag,BmV,logM,logMe,logR,logRe,logg,logge,logT,logTe,logL,logLe,Mass[solMass],log.Teff [K],B-V,Absolute Mag,SpType,Temp(log),T(K)
394,BT_Vul-1,F0_V,1.141,11.69,0.31,0.1886,0.0028,0.1864,0.0051,4.254,0.011,3.862,0.009,0.772,0.038,1.5438318628248198,3.862,0.31,2.87,F,0.586812269443376,7277.798045368242
395,BT_Vul-2,F7_V,1.141,11.69,0.31,0.0862,0.0028,0.0611,0.0109,4.403,0.022,3.797,0.012,0.26,0.055,1.2195510936596836,3.797,0.31,4.15,F,0.5794405971397972,6266.138646723356
396,EPIC_211982753-1,none,5.39,8.77,0.3,0.2279,0.0051,0.2201,0.0052,4.226,0.01,3.87,0.015,0.875,0.01,1.6900517380435738,3.87,0.3,2.6125,n,0.5877109650189114,7413.102413009177
397,EPIC_211982753-2,none,5.39,8.77,0.3,0.2014,0.0055,0.1847,0.0057,4.27,0.011,3.844,0.016,0.703,0.013,1.5900105282148649,3.844,0.3,3.0425,n,0.5847833789965078,6982.324040771711
398,MY_Cyg-1,F0_Vm,4.005,8.31,0.3,0.2601,0.0072,0.3464,0.0039,4.01,0.01,3.851,0.012,1.05,0.04,1.8201199084601032,3.851,0.3,2.175,F,0.5855735186227311,7095.777679633888
399,MY_Cyg-2,F0_Vm,4.005,8.31,0.3,0.2553,0.0072,0.3579,0.0038,3.98,0.01,3.847,0.012,1.06,0.05,1.800113960418011,3.847,0.3,2.1499999999999995,F,0.5851221863068155,7030.723198838334
400,TV_Nor-1,none,8.524,9.0,0.3,0.3124,0.0047,0.2646,0.0028,4.221,0.01,3.96,0.007,1.325,0.034,2.053052239279469,3.96,0.3,1.4874999999999998,n,0.5976951859255123,9120.108393559096
401,TV_Nor-2,none,8.524,9.0,0.3,0.2214,0.0047,0.1903,0.0039,4.278,0.012,3.892,0.006,0.902,0.035,1.664945415795275,3.892,0.3,2.545,n,0.5901728315963143,7798.3011052325855
402,MU_Cas-1,B5_V,9.653,10.8,0.3,0.6599,0.0086,0.5647,0.0047,3.969,0.01,4.179,0.014,2.8,0.06,4.569829532859611,4.179,0.3,-2.2,B,0.6210723711436259,15100.801541641493
403,MU_Cas-2,B5_V,9.653,10.8,0.3,0.6684,0.0093,0.6222,0.0052,3.861,0.01,4.169,0.014,2.88,0.06,4.660151117021841,4.169,0.3,-2.3999999999999995,B,0.6200318951262973,14757.065332758932
404,AH_Cep-1,B0.5_V,1.775,6.81,0.3,1.2079,0.007,0.8136,0.0067,4.019,0.012,4.487,0.008,4.53,0.03,16.13986879824255,4.487,0.3,-6.525000000000001,B,0.6519560695330743,30690.21988391158
405,AH_Cep-2,B0.5_V,1.775,6.81,0.3,1.1364,0.0067,0.7513,0.0085,4.073,0.018,4.459,0.008,4.3,0.04,13.689891307007354,4.459,0.3,-5.95,B,0.6492374723496073,28773.984147356667
