System,SpT,Pday,Vmag,BmV,logM,logMe,logR,logRe,logg,logge,logT,logTe,logL,logLe,Mass[solMass],log.Teff [K],B-V,Absolute Mag
OGLE_SMC108.1_14904-2,G,185.218,15.21,0.86,0.6463,0.0036,1.8065,0.0034,1.472,0.01,3.695,0.008,3.346,0.038,4.428942072,3.695,0.86,-3.565
MU_Cas-1,B,9.653,10.8,0.3,0.6599,0.0086,0.5647,0.0047,3.969,0.01,4.179,0.014,2.8,0.06,4.569829533,4.179,0.3,-2.2
MU_Cas-2,B,9.653,10.8,0.3,0.6684,0.0093,0.6222,0.0052,3.861,0.01,4.169,0.014,2.88,0.06,4.660151117,4.169,0.3,-2.4
ASAS_J180057-2333.8-1,K,269.496,10.34,1.6,0.6914,0.0019,1.717,0.0115,1.696,0.023,3.657,0.008,3.013,0.038,4.913602273,3.657,1.6,-2.7325
ASAS_J180057-2333.8-2,K,269.496,10.34,1.6,0.688,0.0019,1.8301,0.009,1.466,0.018,3.624,0.008,3.111,0.037,4.875284901,3.624,1.6,-2.9775
V760_Sco-1,B,1.731,6.99,-0.17,0.6972,0.0078,0.479,0.0095,4.177,0.021,4.228,0.013,2.82,0.05,4.979663542,4.228,-0.17,-2.25
V760_Sco-2,B,1.731,6.99,-0.17,0.6646,0.0069,0.4216,0.0087,4.259,0.019,4.21,0.013,2.63,0.06,4.619553488,4.21,-0.17,-1.775
DI_Her-1,B,10.55,8.42,-0.18,0.7147,0.009,0.4281,0.0075,4.297,0.018,4.23,0.02,2.73,0.08,5.184417883,4.23,-0.18,-2.025
DI_Her-2,B,10.55,8.42,-0.18,0.6565,0.0063,0.3939,0.0079,4.307,0.017,4.179,0.02,2.46,0.08,4.534192978,4.179,-0.18,-1.35
CV_Vel-1,B,6.889,6.69,-0.19,0.783,0.0008,0.6107,0.0032,4,0.008,4.255,0.012,3.204,0.048,6.067363296,4.255,-0.19,-3.21
CV_Vel-2,B,6.889,6.69,-0.19,0.7747,0.0008,0.5955,0.0033,4.021,0.008,4.25,0.012,3.137,0.048,5.952508168,4.25,-0.19,-3.0425
V539_Ara-1,B,3.169,5.71,-0.19,0.7951,0.0046,0.6581,0.0018,3.917,0.003,4.258,0.012,3.302,0.048,6.238784723,4.258,-0.19,-3.455
V539_Ara-2,B,3.169,5.71,-0.19,0.7253,0.0049,0.5533,0.0043,4.057,0.008,4.233,0.013,2.993,0.052,5.312512929,4.233,-0.19,-2.6825
V436_Per-1,B,25.936,5.52,-0.18,0.8376,0.0023,0.5334,0.0059,4.209,0.012,4.332,0.02,3.351,0.081,6.880183161,4.332,-0.18,-3.5775
V436_Per-2,B,25.936,5.52,-0.18,0.8662,0.0023,0.5735,0.0031,4.157,0.006,4.342,0.02,3.471,0.079,7.348522022,4.342,-0.18,-3.8775
V1388_Ori-1,B,2.187,7.5,-0.06,0.8596,0.0047,0.7244,0.0061,3.849,0.012,4.279,0.023,3.65,0.044,7.237690371,4.279,-0.06,-4.325
V1388_Ori-2,B,2.187,7.5,-0.06,0.7014,0.0033,0.4975,0.0077,4.144,0.015,4.23,0.025,3.018,0.049,5.028054773,4.23,-0.06,-2.745
