logL,Mass[solMass],Vmag,logT,Absolute Mag,B-V,Predicted_SpT
1.17,1.75,5.03,3.877,1.8,0.23,A
1.02,1.73,5.4,3.865,2.17,0.26,A
1.02,1.66,5.4,3.865,2.17,0.26,A
1.02,1.63,5.4,3.865,2.17,0.26,A
0.99,1.71,5.48,3.865,2.25,0.26,A
0.95,1.66,5.58,3.844,2.35,0.32,F
0.95,1.65,5.58,3.844,2.35,0.32,F
0.95,1.54,5.58,3.844,2.35,0.32,F
0.94,1.66,5.59,3.858,2.36,0.28,A
0.92,1.64,5.64,3.85,2.41,0.3,F
0.92,1.57,5.64,3.85,2.41,0.3,F
0.92,1.54,5.64,3.85,2.41,0.3,F
0.89,1.61,5.72,3.844,2.49,0.32,F
0.89,1.55,5.72,3.844,2.49,0.32,A
0.89,1.51,5.72,3.844,2.49,0.32,F
0.82,1.55,5.9,3.844,2.67,0.32,F
0.77,1.51,6.02,3.837,2.79,0.34,F
0.72,1.32,6.17,3.8,2.94,0.46,F
0.66,1.4,6.32,3.819,3.09,0.4,F
0.58,1.33,6.51,3.809,3.28,0.43,F
0.56,1.2,6.59,3.784,3.36,0.53,F
0.54,1.31,6.61,3.816,3.38,0.41,F
0.45,1.19,6.88,3.777,3.65,0.56,F
0.45,1.18,6.88,3.777,3.65,0.56,F
0.45,1.12,6.88,3.777,3.65,0.56,F
0.42,1.22,6.92,3.803,3.69,0.45,F
0.4,1.22,6.97,3.806,3.74,0.44,F
0.41,1.17,6.99,3.777,3.76,0.56,F
0.41,1.13,6.99,3.777,3.76,0.56,F
0.41,1.1,6.99,3.777,3.76,0.56,F
0.38,1.18,7.05,3.791,3.82,0.5,F
0.23,1.1,7.42,3.782,4.19,0.54,F
0.21,1.09,7.49,3.782,4.26,0.54,F
0.2,1.0,7.54,3.75,4.31,0.68,G
0.2,0.98,7.54,3.75,4.31,0.68,G
0.2,0.97,7.54,3.75,4.31,0.68,G
0.16,1.04,7.62,3.768,4.39,0.6,G
0.09,1.05,7.78,3.782,4.55,0.54,F
0.09,1.02,7.8,3.768,4.57,0.6,G
0.07,1.01,7.85,3.766,4.62,0.61,G
0.02,1.16,7.9,3.837,4.67,0.34,F
0.04,0.99,7.94,3.761,4.71,0.63,G
-0.01,0.98,8.06,3.761,4.83,0.63,G
-0.01,0.97,8.06,3.759,4.83,0.64,G
-0.03,0.96,8.12,3.755,4.89,0.66,G
-0.09,0.87,8.34,3.73,5.11,0.77,G
-0.15,0.9,8.46,3.741,5.23,0.72,G
-0.14,0.81,8.51,3.714,5.28,0.84,K
-0.23,0.87,8.66,3.736,5.43,0.74,G
-0.24,0.9,8.66,3.748,5.43,0.69,G
-0.31,0.8,8.93,3.714,5.7,0.84,K
-0.38,1.0,8.94,3.8,5.71,0.46,F
-0.3,0.77,8.94,3.705,5.71,0.88,K
-0.32,0.81,8.96,3.716,5.73,0.83,K
-0.3,0.72,9.01,3.691,5.78,0.94,K
-0.35,0.8,9.03,3.714,5.8,0.84,K
-0.37,0.79,9.1,3.711,5.87,0.85,K
-0.37,0.77,9.11,3.707,5.88,0.87,K
-0.48,0.78,9.38,3.711,6.15,0.85,K
-0.48,0.76,9.4,3.705,6.17,0.88,K
-0.51,0.73,9.52,3.693,6.29,0.93,K
-0.69,1.03,9.68,3.844,6.45,0.32,G
-0.66,0.88,9.68,3.757,6.45,0.65,G
-0.59,0.74,9.69,3.698,6.46,0.91,K
-0.63,0.63,9.99,3.664,6.76,1.06,K
-0.61,0.58,10.01,3.652,6.78,1.11,K
-0.61,0.38,10.01,3.652,6.78,1.11,K
-0.61,0.37,10.01,3.652,6.78,1.11,K
-0.87,0.87,10.2,3.759,6.97,0.64,K
-0.77,0.67,10.3,3.67,7.07,1.03,K
