Mass[solMass],logT,Absolute Mag,B-V
0.8,3.741,9.82,0.76
9.57,3.816,-3.81,0.481
7.22,3.816,-3.81,0.481
6.52,3.816,-3.81,0.481
5.87,3.816,-3.81,0.481
9.64,4.33,-2.72,-0.172
8.98,4.33,-2.72,-0.172
8.84,4.33,-2.72,-0.172
8.54,4.33,-2.72,-0.172
8.16,4.235,-2.61,-0.118
7.04,4.235,-2.61,-0.118
5.3,4.097,-1.6,-0.028
4.44,4.097,-1.6,-0.028
5.47,4.183,-1.4,-0.08
4.77,4.183,-1.4,-0.08
4.94,4.21,-0.94,-0.098
4.86,4.21,-0.94,-0.098
4.46,4.202,-0.63,-0.092
4.52,4.202,-0.63,-0.092
4.07,4.122,-0.6,-0.043
3.61,4.122,-0.6,-0.043
4.27,4.183,-0.56,-0.08
4.29,4.183,-0.56,-0.08
3.99,4.152,-0.45,-0.061
3.94,4.152,-0.45,-0.061
3.69,4.152,-0.45,-0.061
3.68,4.152,-0.45,-0.061
3.96,4.177,-0.34,-0.076
4.07,4.177,-0.34,-0.076
4.24,4.217,-0.14,-0.104
4.32,4.217,-0.14,-0.104
3.62,4.155,-0.13,-0.063
3.75,4.155,-0.13,-0.063
3.41,4.123,-0.02,-0.044
3.45,4.123,-0.02,-0.044
3.13,4.117,0.22,-0.04
3.26,4.117,0.22,-0.04
3.59,4.182,0.46,-0.079
3.61,4.182,0.46,-0.079
2.73,3.959,0.64,0.126
2.26,3.959,0.64,0.126
2.71,4.097,1.02,-0.028
2.74,4.097,1.02,-0.028
2.6,4.086,1.15,-0.019
2.63,4.086,1.15,-0.019
2.56,4.082,1.23,-0.016
2.58,4.082,1.23,-0.016
2.29,4.035,1.28,0.025
2.36,4.035,1.28,0.025
2.57,4.087,1.29,-0.02
2.59,4.087,1.29,-0.02
2.31,4.045,1.39,0.015
2.36,4.045,1.39,0.015
2.16,4.02,1.55,0.04
2.21,4.02,1.55,0.04
2.18,4.026,1.59,0.034
2.22,4.026,1.59,0.034
2.11,4.013,1.66,0.047
2.15,4.013,1.66,0.047
2.01,3.98,1.68,0.092
2.04,3.98,1.68,0.092
2.17,4.033,1.74,0.027
2.19,4.033,1.74,0.027
2.25,4.054,1.76,0.007
2.25,4.054,1.76,0.007
-1.0,4.057,1.85,0.004
1.91,3.967,1.86,0.113
1.95,3.967,1.86,0.113
2.11,4.026,1.89,0.034
2.12,4.026,1.89,0.034
1.86,3.966,2.03,0.114
1.89,3.966,2.03,0.114
1.95,3.992,2.04,0.073
1.96,3.992,2.04,0.073
1.88,3.973,2.06,0.103
1.9,3.973,2.06,0.103
1.84,3.967,2.12,0.113
1.87,3.967,2.12,0.113
1.84,3.973,2.25,0.104
1.85,3.973,2.25,0.104
1.87,3.983,2.27,0.088
1.87,3.983,2.27,0.088
1.8,3.965,2.33,0.116
1.81,3.965,2.33,0.116
1.79,3.962,2.34,0.121
1.8,3.962,2.34,0.121
1.82,3.973,2.35,0.104
1.82,3.973,2.35,0.104
1.63,3.916,2.49,0.214
1.65,3.916,2.49,0.214
1.69,3.938,2.49,0.166
1.7,3.938,2.49,0.166
1.75,3.963,2.55,0.119
1.75,3.963,2.55,0.119
1.64,3.929,2.59,0.187
1.65,3.929,2.59,0.187
-1.0,3.966,2.75,0.115
1.62,3.935,2.81,0.173
1.62,3.935,2.81,0.173
1.6,3.928,2.82,0.189
1.6,3.928,2.82,0.189
1.58,3.923,2.88,0.2
1.58,3.923,2.88,0.2
1.5,3.876,2.92,0.312
1.48,3.876,2.92,0.312
1.4,3.876,2.92,0.312
1.38,3.876,2.92,0.312
1.56,3.923,2.99,0.199
1.56,3.923,2.99,0.199
1.49,3.865,3.0,0.34
1.45,3.865,3.0,0.34
1.41,3.865,3.0,0.34
1.35,3.865,3.0,0.34
1.46,3.886,3.04,0.286
1.46,3.886,3.04,0.286
-1.0,3.951,3.08,0.139
1.47,3.896,3.15,0.261
1.47,3.896,3.15,0.261
1.45,3.89,3.18,0.276
1.45,3.89,3.18,0.276
1.45,3.89,3.19,0.276
1.45,3.89,3.19,0.276
1.5,3.815,3.28,0.492
1.21,3.815,3.28,0.492
1.55,3.792,3.33,0.577
1.17,3.792,3.33,0.577
1.38,3.869,3.35,0.331
1.37,3.869,3.35,0.331
1.39,3.875,3.37,0.316
1.38,3.875,3.37,0.316
1.38,3.869,3.38,0.33
1.37,3.869,3.38,0.33
1.36,3.866,3.45,0.338
1.35,3.866,3.45,0.338
-1.0,3.884,3.53,0.291
1.36,3.868,3.54,0.333
1.35,3.868,3.54,0.333
1.34,3.861,3.54,0.351
1.33,3.861,3.54,0.351
1.3,3.846,3.56,0.394
1.3,3.846,3.56,0.394
1.3,3.836,3.57,0.426
1.28,3.836,3.57,0.426
1.3,3.846,3.6,0.392
1.29,3.846,3.6,0.392
